#ActionsId[0],Action[1],ExtraParameters[2],Filter[3],BalanceId[4],BalanceType[5],Categories[6],DestinationIds[7],RatingSubject[8],SharedGroup[9],ExpiryTime[10],TimingIds[11],Units[12],BalanceWeight[13],BalanceBlocker[14],BalanceDisabled[15],Weight[16]
ACT_VOICE_NOI_MANG_GOI_6_FREE,*topup,,,PHUT_GOI_NOI_MANG,*voice,,DST_NOI_MANG,*zero1s,,,,500000m,20,false,false,10

ACT_MONEY_GOI_7,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NOI_MANG_GOI_7_FREE,*topup,,,PHUT_GOI_NOI_MANG,*voice,,DST_NOI_MANG,*zero1s,,,,1000000m,20,false,false,10

ACT_MONEY_GOI_8,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_8_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,10000m,20,false,false,10

ACT_MONEY_GOI_9,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_9_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,20000m,20,false,false,10

ACT_MONEY_GOI_10,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_10_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,50000m,20,false,false,10

ACT_MONEY_GOI_11,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_11_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,100000m,20,false,false,10

ACT_MONEY_GOI_12,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_12_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,200000m,20,false,false,10

ACT_MONEY_GOI_13,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_13_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,500000m,20,false,false,10

ACT_MONEY_GOI_14,*topup,,,test,*monetary,,*any,,,*unlimited,,100000000,10,false,false,10
ACT_VOICE_NGOAI_MANG_GOI_14_FREE,*topup,,,PHUT_GOI_NGOAI_MANG,*voice,,DST_NGOAI_MANG,*zero1s,,,,1000000m,20,false,false,10
